F,d,mse,psnr,compression_ratio
8,2,86.7912006541041,28.74604664505734,0.046875
8,5,11.688094992019959,37.453366283093594,0.234375
8,8,2.5773700290392836,44.01903586851924,0.5625
8,14,0.009701367842450362,68.26247389019437,0.984375
16,4,78.20914938139981,29.19822798429263,0.0390625
16,10,11.17521882873356,37.64824324797181,0.21484375
16,20,0.876495937637242,48.703304532912824,0.7421875
16,30,1.661350345560872e-05,95.92619134738194,0.99609375
32,8,74.10539790134804,29.432305173502883,0.03515625
32,20,10.948866512750934,37.73711199932669,0.205078125
32,40,0.8957385949171335,48.60899073693271,0.73046875
32,60,3.7384745564892622e-06,102.40385931619842,0.994140625
