F,d,mse,psnr,compression_ratio
8,2,72.02717437330624,29.55583983133444,0.046875
8,5,16.96505244628339,35.83525154293419,0.234375
8,8,4.110128121370499,41.99225000904988,0.5625
8,14,0.016013659020518777,66.0858978404806,0.984375
16,4,70.74281056426636,29.63398050818856,0.0390625
16,10,16.903875701703445,35.85094070284537,0.21484375
16,20,1.2922126040456834,47.017463881006165,0.7421875
16,30,0.002129307007355788,74.84842077546983,0.99609375
32,8,71.53179813508065,29.585812185813726,0.03515625
32,20,17.277216166834677,35.7560659383492,0.205078125
32,40,1.3482705393145162,46.83303315892125,0.73046875
32,60,0.0024099042338709678,74.31080576188377,0.994140625
