F,d,mse,psnr,compression_ratio
8,2,0.23769833333333334,54.370542242666716,0.046875
8,5,0.17734166666666668,55.64269575196757,0.234375
8,8,0.07078333333333334,59.63149350260874,0.5625
8,14,0.0,inf,0.984375
16,4,0.23869162761551874,54.35243174974477,0.0390625
16,10,0.18211741227114212,55.52728890131978,0.21484375
16,20,0.02009317785527463,65.10031732438884,0.7421875
16,30,0.0,inf,0.99609375
32,8,0.23893754200268819,54.34795969160432,0.03515625
32,20,0.18567813340053763,55.443195993071726,0.205078125
32,40,0.020749327956989246,64.96076325810049,0.73046875
32,60,0.0,inf,0.994140625
