F,d,mse,psnr,compression_ratio
8,2,1180.237521701389,17.41110943406116,0.046875
8,5,381.03515625,22.3211531311618,0.234375
8,8,129.95366753472223,26.992918202581503,0.5625
8,14,3.0543619791666665,43.28159855901637,0.984375
16,4,1048.9853515625,17.923109372882642,0.0390625
16,10,366.17719184027777,22.493890710562333,0.21484375
16,20,56.381510416666664,30.61943654766218,0.7421875
16,30,0.9286024305555556,48.45250544799133,0.99609375
32,8,999.4258897569445,18.13329765378168,0.03515625
32,20,357.6744791666667,22.595924074466414,0.205078125
32,40,54.774197048611114,30.74504341041619,0.73046875
32,60,1.1748046875,47.43114690167878,0.994140625
