F,d,mse,psnr,compression_ratio
8,2,359.8774719238281,22.569256998926683,0.046875
8,5,51.29521179199219,31.030035335605625,0.234375
8,8,5.1926727294921875,40.97689409013177,0.5625
8,14,0.0014190673828125,76.61077342937675,0.984375
16,4,329.6401062011719,22.950403154817053,0.0390625
16,10,48.40205383300781,31.282165705165262,0.21484375
16,20,0.7945404052734375,49.12964373306763,0.7421875
16,30,0.005126953125,71.03221014101766,0.99609375
32,8,317.626708984375,23.11163346090124,0.03515625
32,20,48.954681396484375,31.232861324009157,0.205078125
32,40,1.0892486572265625,47.75953327637171,0.73046875
32,60,0.0104827880859375,67.9260355443206,0.994140625
