F,d,mse,psnr,compression_ratio
8,2,162.80704672029702,26.014071624921883,0.046875
8,5,36.37326511669024,32.52298072776804,0.234375
8,8,6.049908283239038,40.313315700807486,0.5625
8,14,0.029111783946251767,63.49011541403871,0.984375
16,4,157.18035435267856,26.166820973413735,0.0390625
16,10,36.68741629464286,32.485632331536635,0.21484375
16,20,1.8547572544642856,45.447932824667674,0.7421875
16,30,0.0073744419642857145,69.45351198726287,0.99609375
32,8,154.73623604910713,26.23488332408526,0.03515625
32,20,36.76123883928572,32.47690222354051,0.205078125
32,40,1.91697265625,45.30464442733945,0.73046875
32,60,0.011417410714285715,67.55512736817876,0.994140625
